Year;Economy;Economy Label;Flow;Flow Label;Direction;Direction Label;US$ at current prices in millions;US$ at current prices in millions Footnote;US$ at current prices in millions Missing value;US$ at current prices per capita;US$ at current prices per capita Footnote;US$ at current prices per capita Missing value;Percentage of total world;Percentage of total world Footnote;Percentage of total world Missing value;Percentage of Gross Domestic Product;Percentage of Gross Domestic Product Footnote;Percentage of Gross Domestic Product Missing value;Percentage of Gross Fixed Capital Formation;Percentage of Gross Fixed Capital Formation Footnote;Percentage of Gross Fixed Capital Formation Missing value
1990;132;Cabo Verde;8;Flow;1;Inward;0;;;1;;;0;;;0;;;0;;
1990;132;Cabo Verde;8;Flow;2;Outward;0;;;1;;;0;;;0;;;0;;
1990;132;Cabo Verde;9;Stock;1;Inward;4;;;10;;;0;;;1;;;3;;
1990;116;Cambodia;9;Stock;1;Inward;38;;;5;;;0;;;2;;;27;;
1990;116;Cambodia;9;Stock;2;Outward;0;;;0;;;0;;;0;;;0;;
1990;120;Cameroon;8;Flow;1;Inward;-113;;;-10;;;0;;;-1;;;-4;;
1990;120;Cameroon;8;Flow;2;Outward;15;;;1;;;0;;;0;;;1;;
1990;120;Cameroon;9;Stock;1;Inward;360;;;32;;;0;;;3;;;13;;
1990;120;Cameroon;9;Stock;2;Outward;1148;;;101;;;0;;;8;;;40;;
1990;124;Canada;8;Flow;1;Inward;7582;;;273;;;4;;;1;;;6;;
1990;124;Canada;8;Flow;2;Outward;5237;;;188;;;2;;;1;;;4;;
1990;124;Canada;9;Stock;1;Inward;112843;;;4061;;;5;;;19;;;87;;
1990;124;Canada;9;Stock;2;Outward;84807;;;3052;;;4;;;14;;;66;;
1990;136;Cayman Islands;8;Flow;1;Inward;49;;;1886;;;0;;;4;;;29;;
1990;136;Cayman Islands;8;Flow;2;Outward;282;;;10829;;;0;;;23;;;169;;
1990;136;Cayman Islands;9;Stock;1;Inward;1749;;;67274;;;0;;;143;;;1048;;
1990;136;Cayman Islands;9;Stock;2;Outward;648;;;24934;;;0;;;53;;;388;;
1990;140;Central African Republic;8;Flow;1;Inward;1;;;0;;;0;;;0;;;0;;
1990;140;Central African Republic;8;Flow;2;Outward;4;;;1;;;0;;;0;;;2;;
1990;140;Central African Republic;9;Stock;1;Inward;95;;;33;;;0;;;6;;;47;;
1990;140;Central African Republic;9;Stock;2;Outward;18;;;6;;;0;;;1;;;9;;
1990;148;Chad;8;Flow;1;Inward;9;;;2;;;0;;;1;;;4;;
1990;148;Chad;8;Flow;2;Outward;0;;;0;;;0;;;0;;;0;;
1990;148;Chad;9;Stock;1;Inward;250;;;42;;;0;;;14;;;102;;
1990;148;Chad;9;Stock;2;Outward;37;;;6;;;0;;;2;;;15;;
1990;152;Chile;8;Flow;1;Inward;661;;;49;;;0;;;2;;;8;;
1990;152;Chile;8;Flow;2;Outward;8;;;1;;;0;;;0;;;0;;
1990;152;Chile;9;Stock;1;Inward;16107;;;1199;;;1;;;46;;;187;;
1990;152;Chile;9;Stock;2;Outward;154;;;11;;;0;;;0;;;2;;
1990;156;China;8;Flow;1;Inward;3487;;;3;;;2;;;1;;;4;;
1990;156;China;8;Flow;2;Outward;830;;;1;;;0;;;0;;;1;;
1990;156;China;9;Stock;1;Inward;20691;;;18;;;1;;;5;;;21;;
1990;156;China;9;Stock;2;Outward;4455;;;4;;;0;;;1;;;5;;
1990;344;China, Hong Kong SAR;8;Flow;1;Inward;3275;;;589;;;2;;;4;;;16;;
1990;344;China, Hong Kong SAR;8;Flow;2;Outward;2448;;;440;;;1;;;3;;;12;;
1990;344;China, Hong Kong SAR;9;Stock;1;Inward;201653;;;36265;;;9;;;262;;;1000;;
1990;344;China, Hong Kong SAR;9;Stock;2;Outward;11920;;;2144;;;1;;;15;;;59;;
1990;446;China, Macao SAR;8;Flow;1;Inward;0;;;1;;;0;;;0;;;0;;
1990;446;China, Macao SAR;9;Stock;1;Inward;2809;;;7999;;;0;;;87;;;388;;
1990;158;China, Taiwan Province of;8;Flow;1;Inward;1330;;;65;;;1;;;1;;;3;;
1990;158;China, Taiwan Province of;8;Flow;2;Outward;5243;;;255;;;2;;;3;;;13;;
1990;158;China, Taiwan Province of;9;Stock;1;Inward;9735;;;473;;;0;;;6;;;24;;
1990;158;China, Taiwan Province of;9;Stock;2;Outward;30356;;;1474;;;1;;;18;;;73;;
1990;170;Colombia;8;Flow;1;Inward;500;;;15;;;0;;;1;;;4;;
1990;170;Colombia;8;Flow;2;Outward;16;;;0;;;0;;;0;;;0;;
1990;170;Colombia;9;Stock;1;Inward;3500;;;108;;;0;;;6;;;25;;
1990;170;Colombia;9;Stock;2;Outward;402;;;12;;;0;;;1;;;3;;
1990;174;Comoros;8;Flow;1;Inward;0;;;1;;;0;;;0;;;1;;
1990;174;Comoros;9;Stock;1;Inward;17;;;38;;;0;;;3;;;23;;
1990;178;Congo;8;Flow;1;Inward;23;;;9;;;0;;;1;;;3;;
1990;178;Congo;8;Flow;2;Outward;4;;;2;;;0;;;0;;;1;;
1990;178;Congo;9;Stock;1;Inward;575;;;242;;;0;;;20;;;88;;
1990;178;Congo;9;Stock;2;Outward;18;;;7;;;0;;;1;;;3;;
1990;188;Costa Rica;8;Flow;1;Inward;162;;;52;;;0;;;2;;;12;;
1990;188;Costa Rica;8;Flow;2;Outward;2;;;1;;;0;;;0;;;0;;
1990;188;Costa Rica;9;Stock;1;Inward;1324;;;424;;;0;;;18;;;94;;
1990;188;Costa Rica;9;Stock;2;Outward;44;;;14;;;0;;;1;;;3;;
1990;384;Cote d'Ivoire;8;Flow;1;Inward;48;;;4;;;0;;;0;;;5;;
1990;384;Cote d'Ivoire;9;Stock;1;Inward;975;;;80;;;0;;;8;;;106;;
1990;384;Cote d'Ivoire;9;Stock;2;Outward;6;;;1;;;0;;;0;;;1;;
1990;191;Croatia;8;Flow;1;Inward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;191;Croatia;8;Flow;2;Outward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
